id,web_name,team,element_type,now_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,selected_by_percent,form,points_per_game,value_season,transfers_in,transfers_out,position
81,Smith,3,2,4.4,1032,0,0,3,13,0,0,0,4,0,0,0,93,116.2,62.2,8.0,18.6,34,0.1,0.0,2.0,7.7,27917,39808,DEF
83,Tavernier,3,3,5.4,1500,3,6,3,23,0,0,0,5,0,0,3,282,392.4,532.0,389.0,131.3,72,0.4,3.2,3.3,13.3,119412,108841,MID
84,Travers,3,1,4.4,450,0,0,1,5,0,0,0,0,0,20,1,76,146.4,0.0,0.0,14.6,19,0.1,0.0,3.8,4.3,19149,27434,GKP
85,Zabarnyi,3,2,4.4,2364,0,0,6,32,0,0,0,3,1,0,3,315,501.4,136.3,44.0,68.4,65,0.5,0.2,2.4,14.8,113296,109665,DEF
152,Arrizabalaga,3,1,4.6,1980,0,0,5,29,0,0,0,3,0,76,4,279,563.2,10.2,4.0,57.6,72,3.1,1.6,3.3,15.7,603315,328749,GKP
580,Huijsen,3,2,4.5,1690,2,0,5,21,0,0,0,6,0,0,11,317,563.8,156.3,145.0,86.5,71,4.7,1.2,3.1,15.8,764138,273991,DEF
592,J.Araujo,3,2,4.3,352,0,0,0,7,0,0,0,1,0,0,0,11,40.0,7.9,2.0,5.1,8,0.1,0.0,1.0,1.9,11085,24627,DEF
599,Dennis,3,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,39139,36654,GKP
617,Evanilson,3,4,5.7,1541,6,4,8,21,0,0,1,0,0,0,14,339,294.6,248.6,688.0,122.7,89,3.2,2.2,4.0,15.6,1239103,903622,FWD
680,Kinsey,3,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6040,3911,DEF
687,Winterburn,3,3,4.5,9,0,0,0,0,0,0,0,0,0,0,0,6,0.2,0.0,0.0,0.0,2,0.0,0.0,1.0,0.4,3030,2196,MID
702,Harris,3,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2777,1517,DEF
707,Rees-Dottin,3,4,4.5,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,0.1,0.0,1.0,0.2,17460,11302,FWD
712,Akinmboni,3,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1339,706,DEF
713,Soler,3,2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2994,1276,DEF
722,Adu-Adjei,3,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7488,3408,FWD
723,Sadi,3,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,557,283,MID
727,McKenna,3,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,967,460,GKP
728,Silcott-Duberry,3,3,4.5,1,0,0,0,0,0,0,0,0,0,0,0,5,2.0,1.0,0.0,0.3,1,0.0,0.0,1.0,0.2,421,226,MID
738,Iraola,3,5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,6.7,3.2,0.0,26.4,66380,76882,
86,Ajer,4,2,4.4,1206,0,0,2,19,0,0,0,4,0,0,0,97,165.4,113.6,127.0,40.6,28,0.2,3.4,1.8,6.4,39883,60689,DEF
87,Brierley,4,3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,14054,15759,MID
